,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,optimizer,mapping,ansatz,rotation blocks,entanglement_blocks,entanglement,repetitions,skip_final_rotation_layer,energy (Ha),error (mHa),pass,# of parameters,final parameters,# of evaluations,optimizer time,# of qubits,# of CNOTs,score
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2,True,-1.0865824549299972,2.1235608047400767,True,16,"[-1.15888020e-01  3.25431539e+00  1.22535179e+00 -4.90668473e-03
 -1.99496375e-02 -2.41364315e-02 -6.42272791e-02  1.35008875e-02
  1.24407931e-01 -1.23287498e+00  3.06370325e-02  9.82612335e-03
 -3.01594281e-02  4.75441195e-04  2.27296308e-01 -7.11212773e-04]",819,13.406981706619264,4,6,6
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2,True,-1.0865871386957366,2.1188770390017098,True,16,"[-1.15945399e-01  3.27962502e+00  1.25134774e+00 -2.15542925e-03
 -1.15635765e-02 -3.19854261e-02 -6.23684480e-02  1.31338301e-02
  1.50378404e-01 -1.25778852e+00  2.22729466e-02  1.11192278e-02
 -2.95796750e-02  1.45953177e-04  2.27818534e-01 -9.23119563e-04]",919,17.39367365837097,4,6,6
2,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2,True,-1.0865796631178106,2.1263526169308378,True,16,"[-1.15752126e-01  3.27490985e+00  1.23971061e+00  7.77473796e-03
 -5.54195311e-03 -7.22679443e-02 -1.16894786e-01  1.29105327e-02
  1.45374358e-01 -1.24668680e+00  3.78086438e-03  2.43493440e-03
  1.68008452e-02  6.39807419e-04  2.27458445e-01 -1.06305336e-03]",1177,19.158149480819706,4,6,6
3,3.0,3.0,3.0,3.0,3.0,0.0,,,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2,True,-1.086586047937277,2.1199677974628184,True,16,"[-1.16447847e-01  3.27664318e+00  1.24032182e+00 -1.39233298e-03
 -1.65518849e-02 -2.97691161e-02 -6.13592672e-02  1.32692672e-02
  1.47289942e-01 -1.24688569e+00  2.63904300e-02  1.01186280e-02
 -3.35398319e-02  8.13417120e-04  2.27499038e-01 -1.12181240e-03]",867,11.72690773010254,4,6,6
4,4.0,4.0,4.0,4.0,0.0,,,,,COBYLA,JordanWignerMapper,TwoLocal,"['ry', 'rz']",cx,full,3,True,-1.8533628495566552,0.000769115383159,True,24,"[ 2.25391031e-01 -3.97793089e-04 -1.87816537e-02  9.18269204e-01
  2.28663219e-01 -1.89898562e-01  3.92475361e-01 -4.39816238e-04
  3.14164574e+00  3.84029863e-03  2.18628535e-01 -1.76295427e-04
 -3.19808985e-01  1.18225593e+00  1.05365850e+00  5.69699467e-01
  3.81620256e-03 -2.36055854e-01  2.25795149e-01  2.10043831e-01
  2.87211763e-01  3.63888962e-01 -6.15546851e-05 -2.31206727e-04]",500,5.170809984207153,4,18,18
5,5.0,5.0,5.0,0.0,,,,,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2,True,-1.0865846578317,2.121357903039245,True,16,"[-1.17444517e-01  3.30291140e+00  1.26725794e+00 -5.11381366e-03
 -1.90991907e-02 -2.61735851e-02 -6.49067973e-02  1.18646778e-02
  1.74356495e-01 -1.27318663e+00  2.94518756e-02  1.02026467e-02
 -3.15524388e-02  3.07348459e-04  2.26708622e-01 -1.17030697e-03]",833,6.994107961654663,4,6,6
6,6.0,6.0,0.0,,,,,,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2,True,-1.0845025486526254,4.203467082118051,False,16,"[-3.21535710e+00  1.41325674e+01  1.56190909e+00 -9.55464861e-02
  1.16435224e-01 -1.33103610e-01 -3.07927995e-01  1.94848925e+00
  4.70314658e+00 -1.60817806e+00  3.20109600e-01 -3.14263643e+00
 -1.87673329e-03  6.42106649e-03 -2.84928501e+00 -5.08503632e+00]",1199,9.783716678619385,4,6,6
7,7.0,0.0,,,,,,,,COBYLA,JordanWignerMapper,TwoLocal,"['ry', 'rz']",cx,full,3,True,-8.442082744770808,466.6143716534741,False,72,"[ 4.74321813e-02 -1.78886445e-02  2.01732035e-02 -7.21429778e-01
  2.13212937e+00  5.57036822e-01 -3.42763953e-01  1.77680587e+00
  9.63975890e-01  1.83153106e-03  3.74084046e-01 -1.67754644e-02
  7.20436233e-01 -4.48838797e-01  8.31471459e-01  1.28046887e+00
 -5.93458395e-02  2.42332956e-02  1.97157137e+00 -4.09179818e-02
 -6.53246463e-02  1.14011710e-02  7.97396161e-02  2.37904093e-02
  2.47381095e-01 -1.82490077e-01  1.06248412e-01  7.50633647e-02
  3.93809752e-02  2.64327815e-01  1.64662719e-01  9.34234806e-01
 -8.11985433e-01  2.19142747e-03  1.98321958e+00  4.13352916e-01
 -8.64304282e-01 -1.95252143e-01  7.71185813e-01 -2.91955372e-01
  6.75538538e-01  1.78470256e+00 -1.83614939e-02  1.84650180e+00
 -5.68764953e-02  3.78768705e-02 -2.47014877e-02  2.51377176e-01
  4.43983549e-02  6.14495695e-02  6.69407416e-03  1.69728972e-01
  2.03073554e+00  1.71967868e-02 -1.25913665e-02  7.34579385e-03
  1.71958119e+00 -1.90445692e-01 -6.88498625e-01 -3.01932587e-01
  1.31722363e-01  2.86398234e-01  1.92582396e+00 -3.89182496e-01
  7.09716163e-01  1.29035361e+00  1.46193081e-02  1.53827375e+00
  2.80027231e-01 -4.31666519e-02 -2.76686322e-02  7.26255531e-02]",500,116.0584123134613,12,198,198
8,0.0,,,,,,,,,COBYLA,JordanWignerMapper,TwoLocal,"['ry', 'rz']",cx,full,3,True,-1.8533628495566552,0.0007691153827149,True,24,"[ 2.25391031e-01 -3.97793089e-04 -1.87816537e-02  9.18269204e-01
  2.28663219e-01 -1.89898562e-01  3.92475361e-01 -4.39816238e-04
  3.14164574e+00  3.84029863e-03  2.18628535e-01 -1.76295427e-04
 -3.19808985e-01  1.18225593e+00  1.05365850e+00  5.69699467e-01
  3.81620256e-03 -2.36055854e-01  2.25795149e-01  2.10043831e-01
  2.87211763e-01  3.63888962e-01 -6.15546851e-05 -2.31206727e-04]",500,5.406824588775635,4,18,18
0,,,,,,,,,,SLSQP,ParityMapper,TwoLocal,"['ry', 'rz']",cx,linear,2,True,-1.0865860249428743,2.1199907918643124,True,16,"[-1.16219732e-01  3.27726338e+00  1.24163453e+00 -8.06346359e-04
 -1.63342136e-02 -2.99209557e-02 -6.12702581e-02  1.35109153e-02
  1.47819428e-01 -1.24798346e+00  2.62108712e-02  1.01378381e-02
 -3.36482163e-02  8.43994683e-04  2.27518905e-01 -1.11434879e-03]",867,7.485268831253052,4,6,6
