beta_0,gamma_0,energy
0.0,0.0,-6.5
0.0,0.03149466319388264,-6.5
0.0,0.06298932638776528,-6.500000000000001
0.0,0.09448398958164791,-6.500000000000001
0.0,0.12597865277553055,-6.5
0.0,0.1574733159694132,-6.5
0.0,0.18896797916329583,-6.500000000000002
0.0,0.22046264235717847,-6.5
0.0,0.2519573055510611,-6.499999999999999
0.0,0.2834519687449437,-6.5
0.0,0.3149466319388264,-6.5
0.0,0.34644129513270905,-6.500000000000001
0.0,0.37793595832659166,-6.500000000000002
0.0,0.40943062152047427,-6.5
0.0,0.44092528471435694,-6.5
0.0,0.4724199479082396,-6.500000000000001
0.0,0.5039146111021222,-6.499999999999999
0.0,0.5354092742960048,-6.5
0.0,0.5669039374898874,-6.5
0.0,0.5983986006837702,-6.500000000000003
0.0,0.6298932638776528,-6.5
0.0,0.6613879270715354,-6.499999999999999
0.0,0.6928825902654181,-6.500000000000001
0.0,0.7243772534593007,-6.500000000000001
0.0,0.7558719166531833,-6.5
0.0,0.7873665798470659,-6.5
0.0,0.8188612430409485,-6.5
0.0,0.8503559062348313,-6.5
0.0,0.8818505694287139,-6.500000000000001
0.0,0.9133452326225965,-6.5
0.0,0.9448398958164792,-6.499999999999999
0.0,0.9763345590103618,-6.500000000000001
0.0,1.0078292222042444,-6.500000000000002
0.0,1.039323885398127,-6.5
0.0,1.0708185485920096,-6.499999999999999
0.0,1.1023132117858923,-6.5
0.0,1.1338078749797749,-6.5
0.0,1.1653025381736577,-6.5
0.0,1.1967972013675403,-6.500000000000001
0.0,1.228291864561423,-6.499999999999999
0.0,1.2597865277553055,-6.5
0.0,1.2912811909491881,-6.5
0.0,1.3227758541430708,-6.500000000000002
0.0,1.3542705173369534,-6.499999999999999
0.0,1.3857651805308362,-6.500000000000002
0.0,1.4172598437247188,-6.500000000000001
0.0,1.4487545069186014,-6.500000000000002
0.0,1.480249170112484,-6.5
0.0,1.5117438333063666,-6.5
0.0,1.5432384965002492,-6.5
0.0,1.5747331596941319,-6.500000000000003
0.0,1.6062278228880145,-6.5
0.0,1.637722486081897,-6.499999999999999
0.0,1.66921714927578,-6.5
0.0,1.7007118124696625,-6.500000000000002
0.0,1.7322064756635451,-6.5
0.0,1.7637011388574277,-6.5
0.0,1.7951958020513104,-6.499999999999999
0.0,1.826690465245193,-6.5
0.0,1.8581851284390756,-6.5
0.0,1.8896797916329584,-6.5
0.0,1.921174454826841,-6.5
0.0,1.9526691180207236,-6.5
0.0,1.9841637812146062,-6.5
0.0,2.015658444408489,-6.5
0.0,2.0471531076023717,-6.5
0.0,2.078647770796254,-6.5
0.0,2.110142433990137,-6.5
0.0,2.1416370971840193,-6.5
0.0,2.173131760377902,-6.500000000000001
0.0,2.2046264235717845,-6.499999999999999
0.0,2.2361210867656673,-6.5
0.0,2.2676157499595497,-6.5
0.0,2.2991104131534326,-6.5
0.0,2.3306050763473154,-6.5
0.0,2.362099739541198,-6.500000000000001
0.0,2.3935944027350806,-6.499999999999999
0.0,2.425089065928963,-6.5
0.0,2.456583729122846,-6.5
0.0,2.4880783923167282,-6.5
0.0,2.519573055510611,-6.5
0.0,2.551067718704494,-6.5
0.0,2.5825623818983763,-6.500000000000003
0.0,2.614057045092259,-6.499999999999999
0.0,2.6455517082861415,-6.5
0.0,2.6770463714800243,-6.499999999999999
0.0,2.7085410346739067,-6.5
0.0,2.7400356978677896,-6.5
0.0,2.7715303610616724,-6.500000000000001
0.0,2.8030250242555548,-6.5
0.0,2.8345196874494376,-6.500000000000003
0.0,2.86601435064332,-6.5
0.0,2.897509013837203,-6.499999999999999
0.0,2.929003677031085,-6.5
0.0,2.960498340224968,-6.5
0.0,2.9919930034188504,-6.5
0.0,3.0234876666127333,-6.500000000000003
0.0,3.054982329806616,-6.5
0.0,3.0864769930004985,-6.500000000000001
0.0,3.1179716561943813,-6.5
0.0,3.1494663193882637,-6.5
0.0,3.1809609825821465,-6.5
0.0,3.212455645776029,-6.5
0.0,3.2439503089699118,-6.499999999999999
0.0,3.275444972163794,-6.5
0.0,3.306939635357677,-6.5
0.0,3.33843429855156,-6.499999999999999
0.0,3.369928961745442,-6.5
0.0,3.401423624939325,-6.5
0.0,3.4329182881332074,-6.5
0.0,3.4644129513270903,-6.499999999999999
0.0,3.4959076145209727,-6.500000000000001
0.0,3.5274022777148555,-6.5
0.0,3.5588969409087383,-6.5
0.0,3.5903916041026207,-6.5
0.0,3.6218862672965035,-6.5
0.0,3.653380930490386,-6.5
0.0,3.6848755936842688,-6.5
0.0,3.716370256878151,-6.499999999999999
0.0,3.747864920072034,-6.499999999999999
0.0,3.779359583265917,-6.499999999999999
0.0,3.810854246459799,-6.5
0.0,3.842348909653682,-6.500000000000002
0.0,3.8738435728475644,-6.500000000000001
0.0,3.9053382360414473,-6.5
0.0,3.9368328992353296,-6.499999999999999
0.0,3.9683275624292125,-6.499999999999999
0.0,3.999822225623095,-6.5
0.0,4.031316888816978,-6.499999999999999
0.0,4.06281155201086,-6.500000000000001
0.0,4.094306215204743,-6.5
0.0,4.125800878398626,-6.5
0.0,4.157295541592508,-6.5
0.0,4.1887902047863905,-6.500000000000001
0.0,4.220284867980274,-6.5
0.0,4.251779531174156,-6.499999999999999
0.0,4.283274194368039,-6.499999999999999
0.0,4.314768857561922,-6.499999999999999
0.0,4.346263520755804,-6.499999999999999
0.0,4.377758183949687,-6.5
0.0,4.409252847143569,-6.499999999999999
0.0,4.440747510337452,-6.5
0.0,4.472242173531335,-6.5
0.0,4.503736836725217,-6.5
0.0,4.5352314999190995,-6.5
0.0,4.566726163112983,-6.5
0.0,4.598220826306865,-6.499999999999998
0.0,4.6297154895007475,-6.499999999999999
0.0,4.661210152694631,-6.5
0.0,4.692704815888513,-6.500000000000001
0.0,4.724199479082396,-6.500000000000002
0.0,4.755694142276278,-6.500000000000002
0.0,4.787188805470161,-6.5
0.0,4.818683468664044,-6.499999999999999
0.0,4.850178131857926,-6.5
0.0,4.881672795051809,-6.5
0.0,4.913167458245692,-6.500000000000002
0.0,4.944662121439574,-6.5
0.0,4.9761567846334565,-6.5
0.0,5.00765144782734,-6.5
0.0,5.039146111021222,-6.500000000000001
0.0,5.0706407742151045,-6.5
0.0,5.102135437408988,-6.5
0.0,5.13363010060287,-6.499999999999999
0.0,5.165124763796753,-6.5
0.0,5.196619426990635,-6.5
0.0,5.228114090184518,-6.5
0.0,5.259608753378401,-6.500000000000001
0.0,5.291103416572283,-6.499999999999999
0.0,5.322598079766166,-6.500000000000001
0.0,5.354092742960049,-6.5
0.0,5.385587406153931,-6.499999999999999
0.0,5.4170820693478134,-6.500000000000001
0.0,5.448576732541697,-6.5
0.0,5.480071395735579,-6.499999999999999
0.0,5.5115660589294615,-6.500000000000001
0.0,5.543060722123345,-6.499999999999999
0.0,5.574555385317227,-6.5
0.0,5.6060500485111096,-6.500000000000001
0.0,5.637544711704992,-6.5
0.0,5.669039374898875,-6.5
0.0,5.700534038092758,-6.5
0.0,5.73202870128664,-6.500000000000002
0.0,5.763523364480522,-6.5
0.0,5.795018027674406,-6.5
0.0,5.826512690868288,-6.5
0.0,5.85800735406217,-6.5
0.0,5.889502017256054,-6.499999999999999
0.0,5.920996680449936,-6.500000000000001
0.0,5.9524913436438185,-6.5
0.0,5.983986006837701,-6.5
0.0,6.015480670031584,-6.5
0.0,6.0469753332254665,-6.5
0.0,6.078469996419349,-6.5
0.0,6.109964659613232,-6.5
0.0,6.141459322807115,-6.5
0.0,6.172953986000997,-6.499999999999999
0.0,6.204448649194879,-6.5
0.0,6.235943312388763,-6.5
0.0,6.267437975582645,-6.5
0.0,6.298932638776527,-6.5
0.0,6.330427301970411,-6.5
0.0,6.361921965164293,-6.499999999999999
0.0,6.3934166283581755,-6.500000000000001
0.0,6.424911291552058,-6.5
0.0,6.456405954745941,-6.5
0.0,6.4879006179398235,-6.5
0.0,6.519395281133706,-6.5
0.0,6.550889944327588,-6.5
0.0,6.582384607521472,-6.499999999999999
0.0,6.613879270715354,-6.500000000000003
0.0,6.645373933909236,-6.5
0.0,6.67686859710312,-6.5
0.0,6.708363260297002,-6.499999999999999
0.0,6.739857923490884,-6.500000000000001
0.0,6.771352586684767,-6.500000000000001
0.0,6.80284724987865,-6.499999999999999
0.0,6.8343419130725325,-6.5
0.0,6.865836576266415,-6.5
