beta_0,gamma_0,energy
0.0,0.0,-0.5000000000000001
0.0,0.03149466319388264,-0.5
0.0,0.06298932638776528,-0.5
0.0,0.09448398958164791,-0.5
0.0,0.12597865277553055,-0.4999999999999999
0.0,0.1574733159694132,-0.5000000000000002
0.0,0.18896797916329583,-0.5
0.0,0.22046264235717847,-0.5000000000000001
0.0,0.2519573055510611,-0.49999999999999994
0.0,0.2834519687449437,-0.5000000000000001
0.0,0.3149466319388264,-0.4999999999999999
0.0,0.34644129513270905,-0.5000000000000002
0.0,0.37793595832659166,-0.5000000000000002
0.0,0.40943062152047427,-0.5
0.0,0.44092528471435694,-0.5000000000000001
0.0,0.4724199479082396,-0.4999999999999998
0.0,0.5039146111021222,-0.5000000000000001
0.0,0.5354092742960048,-0.4999999999999999
0.0,0.5669039374898874,-0.5
0.0,0.5983986006837702,-0.5000000000000003
0.0,0.6298932638776528,-0.4999999999999999
0.0,0.6613879270715354,-0.4999999999999999
0.0,0.6928825902654181,-0.5000000000000002
0.0,0.7243772534593007,-0.5000000000000002
0.0,0.7558719166531833,-0.5
0.0,0.7873665798470659,-0.5
0.0,0.8188612430409485,-0.49999999999999983
0.0,0.8503559062348313,-0.5000000000000001
0.0,0.8818505694287139,-0.5000000000000003
0.0,0.9133452326225965,-0.5
0.0,0.9448398958164792,-0.4999999999999999
0.0,0.9763345590103618,-0.5000000000000001
0.0,1.0078292222042444,-0.5000000000000003
0.0,1.039323885398127,-0.5000000000000001
0.0,1.0708185485920096,-0.49999999999999994
0.0,1.1023132117858923,-0.49999999999999994
0.0,1.1338078749797749,-0.5
0.0,1.1653025381736577,-0.5000000000000001
0.0,1.1967972013675403,-0.5
0.0,1.228291864561423,-0.5
0.0,1.2597865277553055,-0.5
0.0,1.2912811909491881,-0.5000000000000001
0.0,1.3227758541430708,-0.5000000000000001
0.0,1.3542705173369534,-0.4999999999999998
0.0,1.3857651805308362,-0.5000000000000004
0.0,1.4172598437247188,-0.5000000000000002
0.0,1.4487545069186014,-0.5
0.0,1.480249170112484,-0.5000000000000001
0.0,1.5117438333063666,-0.5000000000000002
0.0,1.5432384965002492,-0.5000000000000003
0.0,1.5747331596941319,-0.5000000000000001
0.0,1.6062278228880145,-0.5
0.0,1.637722486081897,-0.4999999999999997
0.0,1.66921714927578,-0.5000000000000001
0.0,1.7007118124696625,-0.5000000000000003
0.0,1.7322064756635451,-0.5000000000000002
0.0,1.7637011388574277,-0.4999999999999999
0.0,1.7951958020513104,-0.4999999999999997
0.0,1.826690465245193,-0.5000000000000001
0.0,1.8581851284390756,-0.4999999999999999
0.0,1.8896797916329584,-0.4999999999999999
0.0,1.921174454826841,-0.5
0.0,1.9526691180207236,-0.4999999999999999
0.0,1.9841637812146062,-0.5
0.0,2.015658444408489,-0.5
0.0,2.0471531076023717,-0.4999999999999999
0.0,2.078647770796254,-0.49999999999999967
0.0,2.110142433990137,-0.4999999999999999
0.0,2.1416370971840193,-0.4999999999999999
0.0,2.173131760377902,-0.5000000000000001
0.0,2.2046264235717845,-0.4999999999999996
0.0,2.2361210867656673,-0.4999999999999998
0.0,2.2676157499595497,-0.5000000000000002
0.0,2.2991104131534326,-0.4999999999999998
0.0,2.3306050763473154,-0.5000000000000001
0.0,2.362099739541198,-0.5000000000000003
0.0,2.3935944027350806,-0.4999999999999999
0.0,2.425089065928963,-0.5
0.0,2.456583729122846,-0.5
0.0,2.4880783923167282,-0.5
0.0,2.519573055510611,-0.5
0.0,2.551067718704494,-0.5
0.0,2.5825623818983763,-0.5000000000000003
0.0,2.614057045092259,-0.4999999999999999
0.0,2.6455517082861415,-0.4999999999999998
0.0,2.6770463714800243,-0.49999999999999967
0.0,2.7085410346739067,-0.5000000000000001
0.0,2.7400356978677896,-0.5000000000000001
0.0,2.7715303610616724,-0.5
0.0,2.8030250242555548,-0.5
0.0,2.8345196874494376,-0.5000000000000001
0.0,2.86601435064332,-0.5000000000000001
0.0,2.897509013837203,-0.49999999999999994
0.0,2.929003677031085,-0.5
0.0,2.960498340224968,-0.5
0.0,2.9919930034188504,-0.4999999999999999
0.0,3.0234876666127333,-0.5000000000000003
0.0,3.054982329806616,-0.4999999999999999
0.0,3.0864769930004985,-0.5000000000000002
0.0,3.1179716561943813,-0.5000000000000001
0.0,3.1494663193882637,-0.4999999999999997
0.0,3.1809609825821465,-0.49999999999999956
0.0,3.212455645776029,-0.5000000000000002
0.0,3.2439503089699118,-0.4999999999999997
0.0,3.275444972163794,-0.5000000000000003
0.0,3.306939635357677,-0.5000000000000001
0.0,3.33843429855156,-0.49999999999999983
0.0,3.369928961745442,-0.4999999999999999
0.0,3.401423624939325,-0.5
0.0,3.4329182881332074,-0.5000000000000001
0.0,3.4644129513270903,-0.5
0.0,3.4959076145209727,-0.5000000000000001
0.0,3.5274022777148555,-0.4999999999999999
0.0,3.5588969409087383,-0.5
0.0,3.5903916041026207,-0.4999999999999998
0.0,3.6218862672965035,-0.5
0.0,3.653380930490386,-0.5000000000000001
0.0,3.6848755936842688,-0.5
0.0,3.716370256878151,-0.4999999999999999
0.0,3.747864920072034,-0.49999999999999956
0.0,3.779359583265917,-0.49999999999999956
0.0,3.810854246459799,-0.5000000000000002
0.0,3.842348909653682,-0.5000000000000001
0.0,3.8738435728475644,-0.5
