beta_0,gamma_0,energy
0.0,0.0,-22.5
0.0,0.03149466319388264,-22.5
0.0,0.06298932638776528,-22.500000000000004
0.0,0.09448398958164791,-22.500000000000004
0.0,0.12597865277553055,-22.5
0.0,0.1574733159694132,-22.5
0.0,0.18896797916329583,-22.500000000000004
0.0,0.22046264235717847,-22.5
0.0,0.2519573055510611,-22.499999999999996
0.0,0.2834519687449437,-22.500000000000004
0.0,0.3149466319388264,-22.499999999999996
0.0,0.34644129513270905,-22.500000000000004
0.0,0.37793595832659166,-22.50000000000001
0.0,0.40943062152047427,-22.5
0.0,0.44092528471435694,-22.5
0.0,0.4724199479082396,-22.500000000000004
0.0,0.5039146111021222,-22.499999999999993
0.0,0.5354092742960048,-22.499999999999996
0.0,0.5669039374898874,-22.500000000000004
0.0,0.5983986006837702,-22.50000000000001
0.0,0.6298932638776528,-22.5
0.0,0.6613879270715354,-22.499999999999993
0.0,0.6928825902654181,-22.500000000000004
0.0,0.7243772534593007,-22.500000000000007
0.0,0.7558719166531833,-22.5
0.0,0.7873665798470659,-22.499999999999996
0.0,0.8188612430409485,-22.5
0.0,0.8503559062348313,-22.499999999999996
0.0,0.8818505694287139,-22.500000000000004
0.0,0.9133452326225965,-22.499999999999996
0.0,0.9448398958164792,-22.499999999999996
0.0,0.9763345590103618,-22.500000000000004
0.0,1.0078292222042444,-22.500000000000007
0.0,1.039323885398127,-22.5
0.0,1.0708185485920096,-22.499999999999993
0.0,1.1023132117858923,-22.5
0.0,1.1338078749797749,-22.499999999999996
0.0,1.1653025381736577,-22.500000000000004
0.0,1.1967972013675403,-22.500000000000007
0.0,1.228291864561423,-22.499999999999996
0.0,1.2597865277553055,-22.5
0.0,1.2912811909491881,-22.5
0.0,1.3227758541430708,-22.500000000000014
0.0,1.3542705173369534,-22.499999999999996
0.0,1.3857651805308362,-22.500000000000018
0.0,1.4172598437247188,-22.500000000000004
0.0,1.4487545069186014,-22.500000000000018
0.0,1.480249170112484,-22.5
0.0,1.5117438333063666,-22.500000000000007
0.0,1.5432384965002492,-22.500000000000004
0.0,1.5747331596941319,-22.500000000000014
0.0,1.6062278228880145,-22.5
0.0,1.637722486081897,-22.499999999999982
0.0,1.66921714927578,-22.500000000000004
0.0,1.7007118124696625,-22.500000000000018
0.0,1.7322064756635451,-22.500000000000007
0.0,1.7637011388574277,-22.5
0.0,1.7951958020513104,-22.499999999999993
0.0,1.826690465245193,-22.5
0.0,1.8581851284390756,-22.499999999999996
0.0,1.8896797916329584,-22.500000000000004
0.0,1.921174454826841,-22.500000000000004
0.0,1.9526691180207236,-22.5
0.0,1.9841637812146062,-22.5
0.0,2.015658444408489,-22.5
0.0,2.0471531076023717,-22.5
0.0,2.078647770796254,-22.499999999999996
0.0,2.110142433990137,-22.499999999999996
0.0,2.1416370971840193,-22.5
0.0,2.173131760377902,-22.500000000000004
0.0,2.2046264235717845,-22.499999999999993
0.0,2.2361210867656673,-22.499999999999993
0.0,2.2676157499595497,-22.5
0.0,2.2991104131534326,-22.499999999999996
0.0,2.3306050763473154,-22.5
0.0,2.362099739541198,-22.500000000000004
0.0,2.3935944027350806,-22.499999999999996
0.0,2.425089065928963,-22.5
0.0,2.456583729122846,-22.5
0.0,2.4880783923167282,-22.500000000000004
0.0,2.519573055510611,-22.5
0.0,2.551067718704494,-22.500000000000004
0.0,2.5825623818983763,-22.500000000000014
0.0,2.614057045092259,-22.499999999999996
0.0,2.6455517082861415,-22.499999999999996
0.0,2.6770463714800243,-22.49999999999999
0.0,2.7085410346739067,-22.499999999999996
0.0,2.7400356978677896,-22.5
0.0,2.7715303610616724,-22.500000000000004
0.0,2.8030250242555548,-22.5
0.0,2.8345196874494376,-22.500000000000014
0.0,2.86601435064332,-22.499999999999996
0.0,2.897509013837203,-22.49999999999999
0.0,2.929003677031085,-22.499999999999996
0.0,2.960498340224968,-22.500000000000004
0.0,2.9919930034188504,-22.499999999999996
0.0,3.0234876666127333,-22.50000000000001
0.0,3.054982329806616,-22.5
0.0,3.0864769930004985,-22.500000000000004
0.0,3.1179716561943813,-22.499999999999996
0.0,3.1494663193882637,-22.499999999999996
0.0,3.1809609825821465,-22.499999999999996
0.0,3.212455645776029,-22.499999999999996
0.0,3.2439503089699118,-22.499999999999993
0.0,3.275444972163794,-22.5
0.0,3.306939635357677,-22.5
0.0,3.33843429855156,-22.499999999999993
0.0,3.369928961745442,-22.499999999999996
0.0,3.401423624939325,-22.5
0.0,3.4329182881332074,-22.500000000000004
0.0,3.4644129513270903,-22.499999999999993
0.0,3.4959076145209727,-22.500000000000004
0.0,3.5274022777148555,-22.499999999999996
0.0,3.5588969409087383,-22.5
0.0,3.5903916041026207,-22.5
0.0,3.6218862672965035,-22.5
0.0,3.653380930490386,-22.5
0.0,3.6848755936842688,-22.5
0.0,3.716370256878151,-22.499999999999996
0.0,3.747864920072034,-22.499999999999993
0.0,3.779359583265917,-22.49999999999999
0.0,3.810854246459799,-22.5
0.0,3.842348909653682,-22.500000000000007
0.0,3.8738435728475644,-22.500000000000007
0.0,3.9053382360414473,-22.499999999999996
0.0,3.9368328992353296,-22.499999999999996
0.0,3.9683275624292125,-22.499999999999993
0.0,3.999822225623095,-22.499999999999996
0.0,4.031316888816978,-22.499999999999996
0.0,4.06281155201086,-22.5
0.0,4.094306215204743,-22.499999999999996
0.0,4.125800878398626,-22.500000000000004
0.0,4.157295541592508,-22.499999999999996
0.0,4.1887902047863905,-22.500000000000007
0.0,4.220284867980274,-22.5
0.0,4.251779531174156,-22.499999999999993
0.0,4.283274194368039,-22.49999999999999
0.0,4.314768857561922,-22.499999999999993
0.0,4.346263520755804,-22.499999999999996
0.0,4.377758183949687,-22.499999999999996
0.0,4.409252847143569,-22.499999999999993
0.0,4.440747510337452,-22.5
0.0,4.472242173531335,-22.500000000000004
0.0,4.503736836725217,-22.500000000000004
0.0,4.5352314999190995,-22.500000000000004
0.0,4.566726163112983,-22.500000000000004
0.0,4.598220826306865,-22.499999999999982
0.0,4.6297154895007475,-22.499999999999982
0.0,4.661210152694631,-22.5
0.0,4.692704815888513,-22.500000000000004
0.0,4.724199479082396,-22.500000000000014
0.0,4.755694142276278,-22.500000000000018
0.0,4.787188805470161,-22.499999999999996
0.0,4.818683468664044,-22.499999999999996
0.0,4.850178131857926,-22.500000000000004
0.0,4.881672795051809,-22.5
0.0,4.913167458245692,-22.500000000000004
0.0,4.944662121439574,-22.5
0.0,4.9761567846334565,-22.5
0.0,5.00765144782734,-22.5
0.0,5.039146111021222,-22.50000000000001
0.0,5.0706407742151045,-22.5
0.0,5.102135437408988,-22.5
0.0,5.13363010060287,-22.499999999999996
0.0,5.165124763796753,-22.500000000000004
0.0,5.196619426990635,-22.500000000000007
0.0,5.228114090184518,-22.5
0.0,5.259608753378401,-22.500000000000007
0.0,5.291103416572283,-22.499999999999996
0.0,5.322598079766166,-22.500000000000004
0.0,5.354092742960049,-22.5
0.0,5.385587406153931,-22.499999999999996
0.0,5.4170820693478134,-22.500000000000004
0.0,5.448576732541697,-22.5
0.0,5.480071395735579,-22.499999999999993
0.0,5.5115660589294615,-22.500000000000004
0.0,5.543060722123345,-22.499999999999996
0.0,5.574555385317227,-22.5
0.0,5.6060500485111096,-22.500000000000004
0.0,5.637544711704992,-22.5
0.0,5.669039374898875,-22.500000000000004
0.0,5.700534038092758,-22.499999999999996
0.0,5.73202870128664,-22.500000000000007
0.0,5.763523364480522,-22.5
0.0,5.795018027674406,-22.499999999999996
0.0,5.826512690868288,-22.499999999999996
0.0,5.85800735406217,-22.5
0.0,5.889502017256054,-22.499999999999993
0.0,5.920996680449936,-22.500000000000007
0.0,5.9524913436438185,-22.499999999999996
0.0,5.983986006837701,-22.5
0.0,6.015480670031584,-22.500000000000007
0.0,6.0469753332254665,-22.500000000000004
0.0,6.078469996419349,-22.500000000000004
0.0,6.109964659613232,-22.5
0.0,6.141459322807115,-22.500000000000007
0.0,6.172953986000997,-22.499999999999993
0.0,6.204448649194879,-22.499999999999996
0.0,6.235943312388763,-22.5
0.0,6.267437975582645,-22.499999999999996
0.0,6.298932638776527,-22.499999999999996
0.0,6.330427301970411,-22.500000000000004
0.0,6.361921965164293,-22.499999999999993
0.0,6.3934166283581755,-22.50000000000001
0.0,6.424911291552058,-22.500000000000007
